Category,Message
0,Hey how are you doing today
0,I will call you later tonight
1,Win a free iPhone click here now
0,Can we meet tomorrow for lunch
1,Congratulations you won 1 million dollars
0,What time is the meeting
1,Get rich quick scheme click now
0,Thanks for your help yesterday
1,Free money available claim now
0,See you at the office
1,You have won a lottery prize
0,Happy birthday to you
1,Discount offers available limited time
0,How was your weekend trip
1,Make money from home easy way
0,Let me know when you are free
1,Click here for amazing deals
0,Good morning hope you slept well
1,Urgent your account needs verification
0,Can you send me that file
